model	branch_length	nsites	sample	rule	replicates	refined_fraction	legacy_fraction	refined_minus_legacy	paired_bootstrap_ci_low	paired_bootstrap_ci_high	refined_only	legacy_only	agreement	mean_delta_z	mean_delta_z_ci_low	mean_delta_z_ci_high	median_delta_z	delta_z_q10	delta_z_q90	mean_delta_decision_margin	mean_delta_decision_margin_ci_low	mean_delta_decision_margin_ci_high	median_delta_decision_margin
+I+G4	0.5	1000	null_heldout	calibrated	10000	0.0516	0.0498	0.001800000000000003	0.0004	0.0034	38	20	0.9942	-5.352113566051569	-5.354158262309099	-5.35006886979404	-5.350651809256772	-5.48571998655884	-5.219048831831395	-0.12411962902640639	-0.12616432528393576	-0.12207493276887701	-0.12265787223160896
+I+G4	0.5	1000	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-3.0916987204288073	-3.0943102207320567	-3.089087220125558	-3.0973938770186553	-3.3273362634345705	-2.844764391282058	2.1362952165963556	2.133683716293106	2.138906716899605	2.1306000600065076
+I+G4	0.5	5000	null_heldout	nominal	10000	0.045	1.0	-0.955	-0.959	-0.9509	0	9550	0.045	-11.972120028277908	-11.974129024037662	-11.970111032518155	-11.97073388973608	-12.103948098033221	-11.84209418916364	-11.97212002827791	-11.974129024037664	-11.970111032518156	-11.970733889736081
+I+G4	0.5	5000	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-6.926100152212834	-6.928721178878243	-6.923479125547425	-6.928091832801698	-7.166987350312678	-6.679761653487587	-6.926100152212834	-6.928721178878243	-6.923479125547425	-6.928091832801699
+I+G4	0.5	5000	null_heldout	calibrated	10000	0.0423	0.0421	0.0001999999999999988	-0.0012	0.0016	27	25	0.9948	-11.972120028277908	-11.974129024037662	-11.970111032518155	-11.97073388973608	-12.103948098033221	-11.84209418916364	-0.13439264307932516	-0.13640163883907938	-0.13238364731957095	-0.13300650453749618
+I+G4	0.5	5000	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-6.926100152212834	-6.928721178878243	-6.923479125547425	-6.928091832801698	-7.166987350312678	-6.679761653487587	4.911627232985754	4.9090062063203455	4.914248259651163	4.909635552396889
+I+G4	0.5	10000	null_heldout	nominal	10000	0.0514	1.0	-0.9486	-0.9528	-0.9442	0	9486	0.0514	-16.927406492037726	-16.92941445919435	-16.9253985248811	-16.92713834397688	-17.059240666711293	-16.79731242160113	-16.927406492037722	-16.929414459194348	-16.925398524881096	-16.92713834397688
+I+G4	0.5	10000	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-9.796471196074648	-9.799084581464843	-9.793857810684454	-9.79915445711557	-10.037046955575835	-9.55292415884741	-9.79647119607465	-9.799084581464845	-9.793857810684456	-9.799154457115572
+I+G4	0.5	10000	null_heldout	calibrated	10000	0.0505	0.0506	-9.999999999999593e-05	-0.0014	0.0012	23	24	0.9953	-16.927406492037726	-16.92941445919435	-16.9253985248811	-16.92713834397688	-17.059240666711293	-16.79731242160113	-0.13099298820298952	-0.13300095535961673	-0.1289850210463623	-0.13072484014214503
+I+G4	0.5	10000	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-9.796471196074648	-9.799084581464843	-9.793857810684454	-9.79915445711557	-10.037046955575835	-9.55292415884741	6.99994230776008	6.997328922369887	7.002555693150274	6.9972590467191615
+I+G4	1.0	100	null_heldout	nominal	10000	0.0511	0.5204	-0.4693	-0.4789	-0.4594	0	4693	0.5307	-1.6921237702051366	-1.6942179409910818	-1.6900295994191914	-1.6861850522161528	-1.830288163948398	-1.5615099442285696	-1.6921237702051366	-1.6942179409910818	-1.6900295994191914	-1.686185052216153
+I+G4	1.0	100	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-1.1791929635881186	-1.1810410165631302	-1.177344910613107	-1.1913887929530729	-1.3369035300133134	-1.0041016605622077	-1.1791929635881189	-1.1810410165631304	-1.1773449106131073	-1.191388792953073
+I+G4	1.0	100	null_heldout	calibrated	10000	0.0571	0.0565	0.0005999999999999964	-0.0007	0.002	28	22	0.995	-1.6921237702051366	-1.6942179409910818	-1.6900295994191914	-1.6861850522161528	-1.830288163948398	-1.5615099442285696	-0.12338836463303501	-0.1254825354189802	-0.12129419384708982	-0.11744964664405133
+I+G4	1.0	100	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-1.1791929635881186	-1.1810410165631302	-1.177344910613107	-1.1913887929530729	-1.3369035300133134	-1.0041016605622077	0.3895424419839829	0.38769438900897146	0.39139049495899436	0.3773466126190286
+I+G4	1.0	500	null_heldout	nominal	10000	0.0465	0.9893	-0.9428	-0.9473	-0.9381	0	9428	0.0572	-3.792245435357889	-3.794247890399845	-3.7902429803159334	-3.7887516627749536	-3.924889010309719	-3.6643871504553283	-3.7922454353578883	-3.794247890399844	-3.7902429803159325	-3.7887516627749527
+I+G4	1.0	500	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-2.6640317982010324	-2.6658053717003716	-2.6622582247016933	-2.669388507038299	-2.8247192167295436	-2.497396315927183	-2.664031798201032	-2.665805371700371	-2.662258224701693	-2.669388507038298
+I+G4	1.0	500	null_heldout	calibrated	10000	0.0503	0.0506	-0.00030000000000000165	-0.0015024999999999993	0.0009	19	22	0.9959	-3.792245435357889	-3.794247890399845	-3.7902429803159334	-3.7887516627749536	-3.924889010309719	-3.6643871504553283	-0.13089925942425953	-0.13290171446621507	-0.128896804382304	-0.1274054868413237
+I+G4	1.0	500	alternative	calibrated	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-2.6640317982010324	-2.6658053717003716	-2.6622582247016933	-2.669388507038299	-2.8247192167295436	-2.497396315927183	0.9973143777325965	0.9955408042332572	0.9990879512319357	0.9919576688953295
+I+G4	1.0	1000	null_heldout	nominal	10000	0.0496	1.0	-0.9504	-0.9547	-0.946	0	9504	0.0496	-5.362467790955973	-5.364510603659089	-5.3604249782528575	-5.360460235044666	-5.4982321038835735	-5.231356919611287	-5.362467790955973	-5.364510603659089	-5.3604249782528575	-5.360460235044666
+I+G4	1.0	1000	alternative	nominal	20000	1.0	1.0	0.0	0.0	0.0	0	0	1.0	-3.7732628274206754	-3.7750269125217186	-3.7714987423196322	-3.77655029233979	-3.9329659295418664	-3.608157928287176	-3.7732628274206754	-3.7750269125217186	-3.7714987423196322	-3.776550292339791
